State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy
STATE,0,0,0,0,0,0.0
Alabama,1830360,1813090,17270,20,863.5,5.454942760313916
Alaska,293130,281570,11560,27,428.14814814814815,5.439470503490477
Arizona,2313520,2245920,67600,28,2414.285714285714,5.497884837712912
Arkansas,1125830,1109050,16780,25,671.2,5.427782850130543
California,14534620,14390670,143950,14,10282.142857142857,5.5480114544850005
Colorado,2110640,2068340,42300,45,940.0,5.532797455965753
Connecticut,1633350,1588590,44760,32,1398.75,5.497864775876406
Delaware,408270,385430,22840,35,652.5714285714286,5.315476532673474
District of Columbia,603130,569570,33560,30,1118.6666666666667,5.1566281662227365
Florida,7330880,7289250,41630,19,2191.0526315789475,5.444987740660674
Georgia,3806550,3754310,52240,25,2089.6,5.4889605868198625
Hawaii,564850,544370,20480,38,538.9473684210526,5.358172518961642
Idaho,574270,548850,25420,44,577.7272727272727,5.459829573963489
Illinois,5719070,5624240,94830,41,2312.9268292682927,5.541746385326402
Indiana,2866350,2840200,26150,36,726.3888888888889,5.50423970355689
Iowa,1423170,1410020,13150,14,939.2857142857143,5.437504779425443
Kansas,1297710,1257420,40290,27,1492.2222222222222,5.504133674321664
Kentucky,1728300,1684290,44010,25,1760.4,5.475409331450087
Louisiana,1861000,1836600,24400,27,903.7037037037037,5.464036617923343
Maine,595120,579300,15820,34,465.29411764705884,5.453712548766981
Maryland,2458140,2406520,51620,36,1433.888888888889,5.50559433714002
Massachusetts,3125930,3026890,99040,19,5212.631578947368,5.503254505845036
Michigan,4294310,4160040,134270,35,3836.285714285714,5.525438388374412
Minnesota,2602230,2559080,43150,30,1438.3333333333333,5.5249316990837976
Mississippi,1095450,1074230,21220,25,848.8,5.412601900917084
Missouri,2630780,2605650,25130,23,1092.608695652174,5.470170745507496
Montana,402930,391590,11340,32,354.375,5.368406044656259
Nebraska,883450,861730,21720,24,905.0,5.46045937790999
Nevada,1116860,1091120,25740,30,858.0,5.315116772120478
New Hampshire,613090,604350,8740,24,364.1666666666667,5.455785970172293
New Jersey,3881440,3849620,31820,27,1178.5185185185185,5.476513951179326
New Mexico,755620,725200,30420,43,707.4418604651163,5.490038018675219
New York,8248470,8080640,167830,25,6713.2,5.469446577611723
North Carolina,3722700,3669770,52930,31,1707.4193548387098,5.493407613076767
North Dakota,318520,307480,11040,23,480.0,5.36600965620552
Ohio,5308970,5272810,36160,20,1808.0,5.492856137057422
Oklahoma,1421270,1392720,28550,29,984.4827586206897,5.489827555972588
Oregon,1556470,1491830,64640,1,64640.0,5.4141036227529495
Pennsylvania,5507880,5480030,27850,15,1856.6666666666667,5.524841670819469
Rhode Island,480420,385800,94620,146,648.082191780822,5.5346387960876395
South Carolina,1772760,1748790,23970,31,773.2258064516129,5.473512824037403
South Dakota,368100,357470,10630,12,885.8333333333334,5.336063697154205
Tennessee,2634450,2609080,25370,30,845.6666666666666,5.44805389324888
Texas,9299360,9249510,49850,18,2769.4444444444443,5.483143116578403
Utah,1059720,1020330,39390,37,1064.5945945945946,5.541525629569096
Vermont,293650,275820,17830,20,891.5,5.417264271646541
Virginia,3451890,3428770,23120,19,1216.842105263158,5.521716271231807
Washington,2583080,2543940,39140,20,1957.0,5.578834017237449
West Virginia,685110,664620,20490,40,512.25,5.450394017350159
Wisconsin,2689160,2623160,66000,41,1609.7560975609756,5.52526675744141
Wyoming,245050,233800,11250,21,535.7142857142857,5.428109615704733
