State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1824400,1812510,11890,16,743.125,5.435299383628336,0.3770125002931843
Alaska,318700,310210,8490,28,303.2142857142857,5.456467381107655,0.43059225163160486
Arizona,2414340,2382270,32070,33,971.8181818181819,5.507409884385029,0.37473182785182146
Arkansas,1155020,1148270,6750,17,397.05882352941177,5.425843352553835,0.38868107860015955
California,14303630,14294800,8830,5,1766.0,5.56802830829295,0.3379473311636678
Colorado,2226160,2212410,13750,30,458.3333333333333,5.484312634323948,0.3752320693827037
Connecticut,1620620,1599460,21160,27,783.7037037037037,5.504965620866059,0.3850078800240488
Delaware,405750,384210,21540,28,769.2857142857143,5.377509391784975,0.4164256414656558
District of Columbia,653760,637900,15860,29,546.8965517241379,5.165048698499722,0.3857249840790913
Florida,7273850,7268780,5070,10,507.0,5.3887338134905605,0.341063499617027
Georgia,3815530,3805550,9980,16,623.75,5.432218274009174,0.35845365822621506
Hawaii,588210,579900,8310,30,277.0,5.37973435461996,0.40495291141378903
Idaho,598540,586210,12330,22,560.4545454545455,5.4863715474157555,0.4124394076333086
Illinois,5640740,5601000,39740,17,2337.6470588235293,5.5022463073536585,0.3539440460793672
Indiana,2811920,2803690,8230,22,374.09090909090907,5.490859002606942,0.36977030097042507
Iowa,1470740,1463070,7670,18,426.1111111111111,5.462228975069316,0.3846294435286655
Kansas,1320920,1314700,6220,22,282.72727272727275,5.500878737193765,0.39030378655571063
Kentucky,1764750,1743680,21070,28,752.5,5.461187405575297,0.3796836629176536
Louisiana,1868210,1855430,12780,20,639.0,5.415402267324241,0.37501509821496715
Maine,581110,573940,7170,27,265.55555555555554,5.462941083123974,0.4115924415081115
Maryland,2510680,2493990,16690,31,538.3870967741935,5.539251237907552,0.37589760510028647
Massachusetts,3202080,3191080,11000,13,846.1538461538462,5.5365634124512795,0.3696140199349283
Michigan,3918120,3899620,18500,22,840.9090909090909,5.467550984581711,0.3601545921799214
Minnesota,2641110,2622110,19000,29,655.1724137931035,5.535066210159816,0.3743270997784421
Mississippi,1080420,1069210,11210,17,659.4117647058823,5.381014529541699,0.38732229143698543
Missouri,2605910,2588630,17280,28,617.1428571428571,5.469796370731607,0.37024897263690876
Montana,432380,424660,7720,31,249.03225806451613,5.442543361104757,0.41939725291272706
Nebraska,914830,899680,15150,29,522.4137931034483,5.461844966217205,0.3979053319357358
Nevada,1127160,1107520,19640,31,633.5483870967741,5.3046392391978054,0.38066441567641535
New Hampshire,612710,607070,5640,20,282.0,5.419048801791601,0.4066630906362051
New Jersey,3793720,3780920,12800,26,492.3076923076923,5.4776163258503505,0.3615860985084078
New Mexico,773860,758330,15530,24,647.0833333333334,5.4401143685616535,0.40121363581346436
New York,8542280,8524030,18250,17,1073.5294117647059,5.458272302614413,0.34198547245243355
North Carolina,3878800,3865520,13280,15,885.3333333333334,5.473577713396481,0.3607912850739396
North Dakota,403290,391280,12010,25,480.4,5.3944938064377475,0.41793770486355636
Ohio,5054250,5028950,25300,18,1405.5555555555557,5.5057645125560475,0.35668937811395424
Oklahoma,1529900,1515160,14740,30,491.3333333333333,5.498703653095929,0.38612558791451584
Oregon,1609900,1593670,16230,16,1014.375,5.5945339324176215,0.3914538322677274
Pennsylvania,5596480,5581410,15070,21,717.6190476190476,5.488450204345839,0.35323557772513503
Rhode Island,453020,435790,17230,45,382.8888888888889,5.44821356503075,0.4183309734116329
South Carolina,1796550,1789770,6780,12,565.0,5.39215537035658,0.3744193855533474
South Dakota,398680,393720,4960,7,708.5714285714286,5.354193241557266,0.41518523528616286
Tennessee,2657280,2647840,9440,21,449.5238095238095,5.4490062600076135,0.36835495984116184
Texas,10579400,10552810,26590,17,1564.1176470588234,5.469101457834333,0.33813278646104117
Utah,1200850,1183300,17550,28,626.7857142857143,5.47156340100045,0.39086671351912894
Vermont,294090,279800,14290,30,476.3333333333333,5.457108369200714,0.4333913519580139
Virginia,3597100,3582960,14140,19,744.2105263157895,5.525060324378088,0.3660037510750819
Washington,2764080,2748280,15800,20,790.0,5.607526051728068,0.3780638807932804
West Virginia,710540,701710,8830,33,267.57575757575756,5.384436760473596,0.399623309223122
Wisconsin,2673280,2667460,5820,23,253.04347826086956,5.515008297979905,0.37266549039398444
Wyoming,278040,270930,7110,17,418.2352941176471,5.397728345482258,0.43059468058932926
Guam,60970,49110,11860,7,1694.2857142857142,4.6237119074373965,0.41964551861863864
Puerto Rico,942080,877880,64200,33,1945.4545454545455,5.253688142619227,0.38192404472134606
