AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE
01,AL,Alabama,00-0000,All Occupations,total,1844080,0.4
01,AL,Alabama,11-0000,Management Occupations,major,66820,1.1
01,AL,Alabama,11-1011,Chief Executives,detailed,1300,11.1
01,AL,Alabama,11-1021,General and Operations Managers,detailed,26490,1.7
01,AL,Alabama,11-1031,Legislators,detailed,1400,9.8
01,AL,Alabama,11-2011,Advertising and Promotions Managers,detailed,100,14.5
01,AL,Alabama,11-2021,Marketing Managers,detailed,550,10.6
01,AL,Alabama,11-2022,Sales Managers,detailed,2180,5.3
01,AL,Alabama,11-2031,Public Relations and Fundraising Managers,detailed,490,6.3
01,AL,Alabama,11-3011,Administrative Services Managers,detailed,810,5.8
01,AL,Alabama,11-3021,Computer and Information Systems Managers,detailed,3230,6.8
01,AL,Alabama,11-3031,Financial Managers,detailed,3910,3.2
01,AL,Alabama,11-3051,Industrial Production Managers,detailed,2690,2.7
01,AL,Alabama,11-3061,Purchasing Managers,detailed,940,2.9
01,AL,Alabama,11-3071,"Transportation, Storage, and Distribution Managers",detailed,800,4.8
01,AL,Alabama,11-3111,Compensation and Benefits Managers,detailed,100,9.0
01,AL,Alabama,11-3121,Human Resources Managers,detailed,1120,3.4
01,AL,Alabama,11-3131,Training and Development Managers,detailed,140,6.0
01,AL,Alabama,11-9021,Construction Managers,detailed,2210,5.2
01,AL,Alabama,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,230,25.9
01,AL,Alabama,11-9032,"Education Administrators, Elementary and Secondary School",detailed,3140,3.6
01,AL,Alabama,11-9033,"Education Administrators, Postsecondary",detailed,2190,4.9
01,AL,Alabama,11-9039,"Education Administrators, All Other",detailed,560,5.0
01,AL,Alabama,11-9041,Architectural and Engineering Managers,detailed,2620,3.3
01,AL,Alabama,11-9051,Food Service Managers,detailed,1890,7.5
01,AL,Alabama,11-9061,Funeral Service Managers,detailed,370,19.6
01,AL,Alabama,11-9081,Lodging Managers,detailed,480,13.0
01,AL,Alabama,11-9111,Medical and Health Services Managers,detailed,2360,3.1
01,AL,Alabama,11-9121,Natural Sciences Managers,detailed,210,10.9
01,AL,Alabama,11-9131,Postmasters and Mail Superintendents,detailed,340,0.0
01,AL,Alabama,11-9141,"Property, Real Estate, and Community Association Managers",detailed,500,10.4
01,AL,Alabama,11-9151,Social and Community Service Managers,detailed,830,4.7
01,AL,Alabama,11-9161,Emergency Management Directors,detailed,150,3.1
01,AL,Alabama,11-9199,"Managers, All Other",detailed,2480,3.8
01,AL,Alabama,13-0000,Business and Financial Operations Occupations,major,65500,1.1
01,AL,Alabama,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,40,37.4
01,AL,Alabama,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,170,13.5
01,AL,Alabama,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,660,13.2
01,AL,Alabama,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,5720,2.2
01,AL,Alabama,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,3340,3.6
01,AL,Alabama,13-1032,"Insurance Appraisers, Auto Damage",detailed,460,6.4
01,AL,Alabama,13-1041,Compliance Officers,detailed,1600,4.3
01,AL,Alabama,13-1051,Cost Estimators,detailed,2200,5.3
01,AL,Alabama,13-1071,Human Resources Specialists,detailed,4420,3.1
01,AL,Alabama,13-1075,Labor Relations Specialists,detailed,1010,10.9
01,AL,Alabama,13-1081,Logisticians,detailed,3800,3.2
01,AL,Alabama,13-1111,Management Analysts,detailed,4440,4.5
01,AL,Alabama,13-1121,"Meeting, Convention, and Event Planners",detailed,420,20.8
01,AL,Alabama,13-1131,Fundraisers,detailed,560,7.2
01,AL,Alabama,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,460,6.3
01,AL,Alabama,13-1151,Training and Development Specialists,detailed,2380,4.5
01,AL,Alabama,13-1161,Market Research Analysts and Marketing Specialists,detailed,2220,5.1
01,AL,Alabama,13-1199,"Business Operations Specialists, All Other",detailed,6680,2.6
01,AL,Alabama,13-2011,Accountants and Auditors,detailed,14180,2.1
01,AL,Alabama,13-2021,Appraisers and Assessors of Real Estate,detailed,780,7.4
01,AL,Alabama,13-2031,Budget Analysts,detailed,1020,4.7
01,AL,Alabama,13-2041,Credit Analysts,detailed,600,17.4
01,AL,Alabama,13-2051,Financial Analysts,detailed,940,11.4
01,AL,Alabama,13-2052,Personal Financial Advisors,detailed,1070,10.6
01,AL,Alabama,13-2053,Insurance Underwriters,detailed,530,11.2
01,AL,Alabama,13-2061,Financial Examiners,detailed,230,1.7
01,AL,Alabama,13-2071,Credit Counselors,detailed,100,28.2
01,AL,Alabama,13-2072,Loan Officers,detailed,3380,6.8
01,AL,Alabama,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,1030,1.9
01,AL,Alabama,13-2082,Tax Preparers,detailed,460,18.3
01,AL,Alabama,13-2099,"Financial Specialists, All Other",detailed,600,5.6
01,AL,Alabama,15-0000,Computer and Mathematical Occupations,major,40350,3.5
01,AL,Alabama,15-1111,Computer and Information Research Scientists,detailed,300,17.7
01,AL,Alabama,15-1121,Computer Systems Analysts,detailed,5770,11.2
01,AL,Alabama,15-1122,Information Security Analysts,detailed,1820,29.1
01,AL,Alabama,15-1131,Computer Programmers,detailed,5260,6.1
01,AL,Alabama,15-1132,"Software Developers, Applications",detailed,3810,13.1
